dex number,pokemon,Information links,Location,picture location ,location_html
011,Bibarel,https://www.serebii.net//pokedex-swsh/bibarel/,"Obsidian Fieldlands: Tidewater Dam or nearbyCrimson Mirelands: Gapejaw Bog, Ursa's Ring, Droning Meadow or nearbyCobalt Coastlands: Spring Path or nearbyAlabaster Icelands: Avalugg's Legacy or nearbyObsidian Fieldlands: Massive Mass OutbreakAlabaster Icelands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/400.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/tidewaterdam.shtml"">Tidewater Dam</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/gapejawbog.shtml"">Gapejaw Bog</a>, <a href=""/pokearth/hisui/ursa'sring.shtml"">Ursa's Ring</a>, <a href=""/pokearth/hisui/droningmeadow.shtml"">Droning Meadow</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/springpath.shtml"">Spring Path</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/avalugg'slegacy.shtml"">Avalugg's Legacy</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b>: Massive Mass Outbreak</a></td>"
012,Starly,https://www.serebii.net//pokedex-swsh/starly/,"Obsidian Fieldlands: Aspiration Hill, Horseshoe Plains, Windswept Run, Tidewater Dam or nearbyCobalt Coastlands: Ginkgo Landing, Deadwood Haunt or nearbyObsidian Fieldlands: Massive Mass OutbreakCobalt Coastlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/396.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/aspirationhill.shtml"">Aspiration Hill</a>, <a href=""/pokearth/hisui/horseshoeplains.shtml"">Horseshoe Plains</a>, <a href=""/pokearth/hisui/windsweptrun.shtml"">Windswept Run</a>, <a href=""/pokearth/hisui/tidewaterdam.shtml"">Tidewater Dam</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/ginkgolanding.shtml"">Ginkgo Landing</a>, <a href=""/pokearth/hisui/deadwoodhaunt.shtml"">Deadwood Haunt</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b>: Massive Mass Outbreak</a></td>"
013,Staravia,https://www.serebii.net//pokedex-swsh/staravia/,"Obsidian Fieldlands: Nature's Pantry, Tidewater Dam, Ramanas Island, Sandgem Flats or nearbyCobalt Coastlands: Ginkgo Landing, Deadwood Haunt or nearbyObsidian Fieldlands: Massive Mass OutbreakCobalt Coastlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/397.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/nature'spantry.shtml"">Nature's Pantry</a>, <a href=""/pokearth/hisui/tidewaterdam.shtml"">Tidewater Dam</a>, <a href=""/pokearth/hisui/ramanasisland.shtml"">Ramanas Island</a>, <a href=""/pokearth/hisui/sandgemflats.shtml"">Sandgem Flats</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/ginkgolanding.shtml"">Ginkgo Landing</a>, <a href=""/pokearth/hisui/deadwoodhaunt.shtml"">Deadwood Haunt</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b>: Massive Mass Outbreak</a></td>"
014,Staraptor,https://www.serebii.net//pokedex-swsh/staraptor/,Obsidian Fieldlands: Nature's Pantry or nearbyCobalt Coastlands: Deadwood Haunt or nearbyObsidian Fieldlands: Massive Mass OutbreakCobalt Coastlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/398.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/nature'spantry.shtml"">Nature's Pantry</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/deadwoodhaunt.shtml"">Deadwood Haunt</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b>: Massive Mass Outbreak</a></td>"
015,Shinx,https://www.serebii.net//pokedex-swsh/shinx/,"Obsidian Fieldlands: Aspiration Hill, Floaro Gardens, Oreburrow Tunnel or nearbyCoronet Highlands: Sonorous Path or nearbyObsidian Fieldlands: Massive Mass OutbreakCoronet Highlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/403.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/aspirationhill.shtml"">Aspiration Hill</a>, <a href=""/pokearth/hisui/floarogardens.shtml"">Floaro Gardens</a>, <a href=""/pokearth/hisui/oreburrowtunnel.shtml"">Oreburrow Tunnel</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/sonorouspath.shtml"">Sonorous Path</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b>: Massive Mass Outbreak</a></td>"
016,Luxio,https://www.serebii.net//pokedex-swsh/luxio/,"Obsidian Fieldlands: Floaro Gardens, Oreburrow Tunnel, Sandgem Flats or nearbyCoronet Highlands: Heavenward Lookout, Sonorous Path, Sacred Plaza, Cloudcap Pass or nearbyObsidian Fieldlands: Massive Mass OutbreakCoronet Highlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/404.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/floarogardens.shtml"">Floaro Gardens</a>, <a href=""/pokearth/hisui/oreburrowtunnel.shtml"">Oreburrow Tunnel</a>, <a href=""/pokearth/hisui/sandgemflats.shtml"">Sandgem Flats</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/heavenwardlookout.shtml"">Heavenward Lookout</a>, <a href=""/pokearth/hisui/sonorouspath.shtml"">Sonorous Path</a>, <a href=""/pokearth/hisui/sacredplaza.shtml"">Sacred Plaza</a>, <a href=""/pokearth/hisui/cloudcappass.shtml"">Cloudcap Pass</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b>: Massive Mass Outbreak</a></td>"
017,Luxray,https://www.serebii.net//pokedex-swsh/luxray/,"Obsidian Fieldlands: Sandgem Flats or nearbyCoronet Highlands: Heavenward Lookout, Sonorous Path, Sacred Plaza, Cloudcap Pass or nearbyObsidian Fieldlands: Massive Mass OutbreakCoronet Highlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/405.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/sandgemflats.shtml"">Sandgem Flats</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/heavenwardlookout.shtml"">Heavenward Lookout</a>, <a href=""/pokearth/hisui/sonorouspath.shtml"">Sonorous Path</a>, <a href=""/pokearth/hisui/sacredplaza.shtml"">Sacred Plaza</a>, <a href=""/pokearth/hisui/cloudcappass.shtml"">Cloudcap Pass</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b>: Massive Mass Outbreak</a></td>"
018,Wurmple,https://www.serebii.net//pokedex-swsh/wurmple/,"Obsidian Fieldlands: Horseshoe Plains, Floaro Gardens, Heartwood or nearbyObsidian Fieldlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/265.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/horseshoeplains.shtml"">Horseshoe Plains</a>, <a href=""/pokearth/hisui/floarogardens.shtml"">Floaro Gardens</a>, <a href=""/pokearth/hisui/heartwood.shtml"">Heartwood</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
019,Silcoon,https://www.serebii.net//pokedex-swsh/silcoon/,"Obsidian Fieldlands: Floaro Gardens, Heartwood or nearbyObsidian Fieldlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/266.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/floarogardens.shtml"">Floaro Gardens</a>, <a href=""/pokearth/hisui/heartwood.shtml"">Heartwood</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
020,Beautifly,https://www.serebii.net//pokedex-swsh/beautifly/,"Obsidian Fieldlands: Floaro Gardens, Heartwood, Grueling Grove or nearbyCobalt Coastlands: Veilstone Cape or nearbyObsidian Fieldlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/267.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/floarogardens.shtml"">Floaro Gardens</a>, <a href=""/pokearth/hisui/heartwood.shtml"">Heartwood</a>, <a href=""/pokearth/hisui/gruelinggrove.shtml"">Grueling Grove</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/veilstonecape.shtml"">Veilstone Cape</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
021,Cascoon,https://www.serebii.net//pokedex-swsh/cascoon/,"Obsidian Fieldlands: Floaro Gardens, Heartwood or nearbyObsidian Fieldlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/268.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/floarogardens.shtml"">Floaro Gardens</a>, <a href=""/pokearth/hisui/heartwood.shtml"">Heartwood</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
022,Dustox,https://www.serebii.net//pokedex-swsh/dustox/,"Obsidian Fieldlands: Floaro Gardens, Heartwood, Grueling Grove or nearbyCobalt Coastlands: Veilstone Cape or nearbyObsidian Fieldlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/269.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/floarogardens.shtml"">Floaro Gardens</a>, <a href=""/pokearth/hisui/heartwood.shtml"">Heartwood</a>, <a href=""/pokearth/hisui/gruelinggrove.shtml"">Grueling Grove</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/veilstonecape.shtml"">Veilstone Cape</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
023,Ponyta,https://www.serebii.net//pokedex-swsh/ponyta/,Obsidian Fieldlands: Horseshoe Plains or nearbyObsidian Fieldlands: Massive Mass OutbreakCoronet Highlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/077.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/horseshoeplains.shtml"">Horseshoe Plains</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b>: Massive Mass Outbreak</a></td>"
024,Rapidash,https://www.serebii.net//pokedex-swsh/rapidash/,Obsidian Fieldlands: Horseshoe Plains or nearbyObsidian Fieldlands: Massive Mass OutbreakCoronet Highlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/078.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/horseshoeplains.shtml"">Horseshoe Plains</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b>: Massive Mass Outbreak</a></td>"
025,Eevee,https://www.serebii.net//pokedex-swsh/eevee/,"Obsidian Fieldlands: Horseshoe Plains, Space-time Distortion in Obsidian Fieldlands or nearbyCrimson Mirelands: Space-time Distortion in Crimson Mirelands or nearbyCobalt Coastlands: Crossing Slope, Space-time Distortion in Cobalt Coastlands or nearbyCoronet Highlands: Space-time Distortion in Coronet Highlands or nearbyAlabaster Icelands: Avalugg's Legacy, Avalanche Slopes, Space-time Distortion in Alabaster Icelands or nearby",https://www.serebii.net//legendsarceus/pokemon/small/133.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/horseshoeplains.shtml"">Horseshoe Plains</a>, <a href=""/pokearth/hisui/obsidianfieldlands.shtml"">Space-time Distortion in Obsidian Fieldlands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/crimsonmirelands.shtml"">Space-time Distortion in Crimson Mirelands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/crossingslope.shtml"">Crossing Slope</a>, <a href=""/pokearth/hisui/cobaltcoastlands.shtml"">Space-time Distortion in Cobalt Coastlands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/coronethighlands.shtml"">Space-time Distortion in Coronet Highlands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/avalugg'slegacy.shtml"">Avalugg's Legacy</a>, <a href=""/pokearth/hisui/avalancheslopes.shtml"">Avalanche Slopes</a>, <a href=""/pokearth/hisui/alabastericelands.shtml"">Space-time Distortion in Alabaster Icelands</a> <i>or nearby</i></td>"
026,Vaporeon,https://www.serebii.net//pokedex-swsh/vaporeon/,Cobalt Coastlands: Space-time Distortion in Cobalt Coastlands or nearby,https://www.serebii.net//legendsarceus/pokemon/small/134.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/cobaltcoastlands.shtml"">Space-time Distortion in Cobalt Coastlands</a> <i>or nearby</i></td>"
027,Jolteon,https://www.serebii.net//pokedex-swsh/jolteon/,Coronet Highlands: Space-time Distortion in Coronet Highlands or nearby,https://www.serebii.net//legendsarceus/pokemon/small/135.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/coronethighlands.shtml"">Space-time Distortion in Coronet Highlands</a> <i>or nearby</i></td>"
028,Flareon,https://www.serebii.net//pokedex-swsh/flareon/,Crimson Mirelands: Space-time Distortion in Crimson MirelandsCobalt Coastlands: Space-time Distortion in Cobalt Coastlands or nearby,https://www.serebii.net//legendsarceus/pokemon/small/136.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/crimsonmirelands.shtml"">Space-time Distortion in Crimson Mirelands<br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/cobaltcoastlands.shtml"">Space-time Distortion in Cobalt Coastlands</a> <i>or nearby</i></a></td>"
029,Espeon,https://www.serebii.net//pokedex-swsh/espeon/,Alabaster Icelands: Space-time Distortion in Alabaster Icelands or nearby,https://www.serebii.net//legendsarceus/pokemon/small/196.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/alabastericelands.shtml"">Space-time Distortion in Alabaster Icelands</a> <i>or nearby</i></td>"
030,Umbreon,https://www.serebii.net//pokedex-swsh/umbreon/,Crimson Mirelands: Space-time Distortion in Crimson Mirelands or nearby,https://www.serebii.net//legendsarceus/pokemon/small/197.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/crimsonmirelands.shtml"">Space-time Distortion in Crimson Mirelands</a> <i>or nearby</i></td>"
031,Leafeon,https://www.serebii.net//pokedex-swsh/leafeon/,Obsidian Fieldlands: Space-time Distortion in Obsidian Fieldlands or nearby,https://www.serebii.net//legendsarceus/pokemon/small/470.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/obsidianfieldlands.shtml"">Space-time Distortion in Obsidian Fieldlands</a> <i>or nearby</i></td>"
032,Glaceon,https://www.serebii.net//pokedex-swsh/glaceon/,Alabaster Icelands: Space-time Distortion in Alabaster Icelands or nearby,https://www.serebii.net//legendsarceus/pokemon/small/471.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/alabastericelands.shtml"">Space-time Distortion in Alabaster Icelands</a> <i>or nearby</i></td>"
033,Sylveon,https://www.serebii.net//pokedex-swsh/sylveon/,Obsidian Fieldlands: Space-time Distortion in Obsidian Fieldlands or nearby,https://www.serebii.net//legendsarceus/pokemon/small/700.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/obsidianfieldlands.shtml"">Space-time Distortion in Obsidian Fieldlands</a> <i>or nearby</i></td>"
